3 246
175,107
56,66
194,63
175,108
55,66
195,63
175,109
54,66
196,63
175,110
53,66
197,63
175,111
52,66
197,64
175,112
51,66
197,65
175,113
50,66
198,65
174,113
49,66
199,65
173,113
48,66
200,65
173,114
47,66
201,65
173,115
46,66
201,66
173,116
45,66
202,66
173,117
45,67
202,67
172,117
45,68
202,68
171,117
44,68
202,69
171,118
43,68
202,70
171,119
43,69
202,71
171,120
43,70
202,72
170,120
43,71
202,73
170,121
43,72
202,74
170,122
43,73
201,74
169,122
43,74
200,74
168,122
43,75
200,75
167,122
42,75
199,75
166,122
42,76
199,76
165,122
41,76
199,77
164,122
41,77
198,77
164,123
41,78
198,78
163,123
40,78
197,78
162,123
39,78
196,78
161,123
38,78
195,78
160,123
37,78
194,78
160,124
37,79
194,79
159,124
36,79
193,79
159,125
36,80
192,79
159,126
36,81
191,79
159,127
36,82
191,80
159,128
36,83
190,80
159,129
35,83
189,80
159,130
34,83
188,80
159,131
34,84
188,81
159,132
33,84
188,82
159,133
32,84
187,82
159,134
32,85
187,83
159,135
31,85
187,84
159,136
30,85
187,85
159,137
30,86
187,86
159,138
29,86
187,87
159,139
29,87
186,87
159,140
29,88
185,87
159,141
28,88
185,88
159,142
27,88
184,88
159,143
27,89
183,88
159,144
26,89
182,88
159,145
25,89
181,88
159,146
24,89
180,88
158,146
24,90
179,88
158,147
23,90
178,88
158,148
22,90
178,89
158,149
21,90
177,89
158,150
20,90
176,89
158,151
19,90
175,89
158,152
18,90
175,90
157,152
17,90
175,91
156,152
16,90
175,92
156,153
15,90
174,92
155,153
14,90
173,92
155,154
13,90
172,92
155,155
12,90
171,92
154,155
11,90
170,92
154,156
10,90
169,92
154,157
10,90
168,92
154,158
10,90
167,92
153,158
10,90
166,92
153,159
10,90
165,92
152,159
10,90
165,93
152,160
10,90
165,94
152,161
10,90
165,95
151,161
10,90
165,96
151,162
10,90
165,97
151,163
10,90
164,97
151,164
10,90
164,98
150,164
10,90
163,98
149,164
10,90
162,98
149,165
10,90
162,99
149,166
10,90
161,99
149,167
10,90
161,100
149,168
10,90
160,100
148,168
10,90
159,100
148,169
10,90
158,100
148,170
10,90
157,100
148,171
10,90
157,101
148,172
10,90
157,102
147,172
10,90
156,102
147,173
10,90
156,103
146,173
10,90
155,103
146,174
10,90
154,103
146,175
10,90
153,103
146,176
10,90
152,103
146,177
10,90
151,103
146,178
10,90
150,103
146,179
10,90
149,103
146,180
10,90
148,103
146,181
10,90
147,103
146,182
10,90
146,103
146,183
10,90
146,104
146,184
10,90
146,105
146,185
10,90
145,105
146,186
10,90
144,105
146,187
10,90
143,105
146,188
10,90
143,106
146,189
10,90
143,107
146,190
10,90
143,108
146,191
10,90
142,108
146,192
10,90
142,109
146,193
10,90
141,109
146,194
10,90
140,109
146,195
10,90
139,109
146,196
10,90
138,109
146,197
10,90
137,109
146,198
10,90
136,109
145,198
10,90
136,110
145,199
10,90
136,111
145,200
10,90
136,112
145,201
10,90
135,112
144,201
10,90
134,112
144,202
10,90
133,112
144,203
10,90
133,113
144,204
10,90
132,113
144,205
10,90
132,114
144,206
10,90
132,115
144,207
10,90
132,116
143,207
10,90
132,117
142,207
10,90
131,117
141,207
10,90
131,118
141,208
10,90
131,119
140,208
10,90
130,119
140,209
10,90
130,120
140,210
10,90
130,121
140,211
10,90
130,122
140,211
10,90
130,123
140,211
10,90
130,124
140,211
10,90
130,125
140,211
10,90
130,126
140,211
10,90
130,127
140,211
10,90
130,128
140,211
10,90
130,129
140,211
10,90
130,130
140,211
10,90
130,131
140,211
10,90
130,132
140,211
10,90
130,133
140,211
10,90
130,134
140,211
10,90
130,135
140,211
10,90
129,135
140,211
10,90
129,136
140,211
10,90
129,137
140,211
10,90
129,138
140,211
10,90
129,139
140,211
10,90
129,140
140,211
10,90
129,141
140,211
10,90
129,142
140,211
10,90
129,143
140,211
10,90
129,144
140,211
10,90
129,145
140,211
10,90
129,146
140,211
10,90
129,147
140,211
10,90
129,148
140,211
10,90
128,148
140,211
10,90
127,148
140,211
10,90
126,148
140,211
10,90
126,149
140,211
10,90
126,150
140,211
10,90
126,151
140,211
10,90
126,152
140,211
10,90
126,153
140,211
10,90
126,154
140,211
10,90
125,154
140,211
10,90
124,154
140,211
10,90
123,154
140,211
10,90
122,154
140,211
10,90
122,155
140,211
10,90
121,155
140,211
10,90
121,156
140,211
10,90
121,157
140,211
10,90
121,158
140,211
10,90
121,159
140,211
10,90
120,159
140,211
10,90
119,159
140,211
10,90
118,159
140,211
10,90
117,159
140,211
10,90
116,159
140,211
10,90
116,160
140,211
10,90
116,161
140,211
10,90
116,162
140,211
10,90
116,163
140,211
10,90
116,164
140,211
10,90
116,165
140,211
10,90
116,166
140,211
10,90
116,167
140,211
10,90
116,168
140,211
10,90
116,169
140,211
10,90
116,170
140,211
10,90
116,171
140,211
10,90
116,172
140,211
10,90
116,173
140,211
10,90
116,174
140,211
10,90
116,175
140,211
10,90
116,176
140,211
10,90
116,177
140,211
10,90
116,178
140,211
10,90
116,179
140,211
10,90
115,179
140,211
10,90
115,180
140,211
10,90
114,180
140,211
10,90
113,180
140,211
10,90
112,180
140,211
10,90
111,180
140,211
10,90
110,180
140,211
10,90
109,180
140,211
10,90
109,181
140,211
10,90
109,182
140,211
10,90
109,183
140,211
10,90
108,183
140,211
10,90
107,183
140,211
10,90
106,183
140,211
10,90
106,184
140,211
10,90
106,185
140,211
10,90
106,186
140,211
10,90
106,187
140,211
10,90
106,188
140,211
10,90
106,189
140,211
10,90
106,190
140,211
10,90
106,191
140,211
10,90
106,192
140,211
10,90
106,193
140,211
10,90
106,194
140,211
10,90
106,195
140,211
10,90
106,196
140,211
10,90
106,197
140,211
10,90
106,198
140,211
10,90
106,199
140,211
10,90
106,200
140,211
10,90
106,201
140,211
10,90
106,202
140,211
10,90
106,203
140,211
10,90
106,204
